country,quarter,top5share
MT,2020-Q1,31.14
MT,2020-Q2,30.59
MT,2020-Q3,30.29
MT,2020-Q4,30.04
MT,2021-Q1,30.05
MT,2021-Q2,30.05
MT,2021-Q3,30.06
MT,2021-Q4,30.17
MT,2022-Q1,30.21
MT,2022-Q2,30.13
MT,2022-Q3,30.19
MT,2022-Q4,30.14
MT,2023-Q1,30.23
MT,2023-Q2,30.24
MT,2023-Q3,30.45
MT,2023-Q4,30.47
MT,2024-Q1,30.55
MT,2024-Q2,30.59
MT,2024-Q3,30.64
MT,2024-Q4,30.76
MT,2025-Q1,30.83
NL,2014-Q4,46.46
NL,2015-Q1,46.23
NL,2015-Q2,45.74
NL,2015-Q3,45.25
NL,2015-Q4,44.47
NL,2016-Q1,43.49
NL,2016-Q2,42.33
NL,2016-Q3,41.07
NL,2016-Q4,40.02
NL,2017-Q1,39.87
NL,2017-Q2,39.49
NL,2017-Q3,39.07
NL,2017-Q4,38.62
NL,2018-Q1,38.09
NL,2018-Q2,37.61
NL,2018-Q3,37.17
NL,2018-Q4,36.44
NL,2019-Q1,35.83
NL,2019-Q2,35.28
NL,2019-Q3,34.75
NL,2019-Q4,34.35
NL,2020-Q1,33.74
NL,2020-Q2,33.44
NL,2020-Q3,33.13
NL,2020-Q4,33.09
NL,2021-Q1,33.35
NL,2021-Q2,33.27
NL,2021-Q3,33.03
NL,2021-Q4,33.06
NL,2022-Q1,32.35
NL,2022-Q2,31.87
NL,2022-Q3,31.77
NL,2022-Q4,31.95
NL,2023-Q1,32.25
NL,2023-Q2,32.71
NL,2023-Q3,32.84
NL,2023-Q4,32.78
PT,2010-Q2,46.46
PT,2010-Q3,46.56
PT,2010-Q4,46.49
PT,2011-Q1,46.24
PT,2011-Q2,46.34
PT,2011-Q3,45.96
PT,2011-Q4,46.02
PT,2012-Q1,46.22
PT,2012-Q2,46.45
PT,2012-Q3,46.77
PT,2012-Q4,46.79
PT,2013-Q1,47.06
PT,2013-Q2,47.02
PT,2013-Q3,47.19
PT,2013-Q4,47.21
PT,2014-Q1,48.74
PT,2014-Q2,48.66
PT,2014-Q3,48.55
PT,2014-Q4,47.66
PT,2015-Q1,48.39
PT,2015-Q2,48.15
PT,2015-Q3,48.04
PT,2015-Q4,48.23
PT,2016-Q1,48.39
PT,2016-Q2,48.29
PT,2016-Q3,48.54
PT,2016-Q4,48.64
PT,2017-Q1,48.88
PT,2017-Q2,49.19
PT,2017-Q3,49.4
PT,2017-Q4,49.34
PT,2018-Q1,49.06
PT,2018-Q2,48.74
PT,2018-Q3,48.73
PT,2018-Q4,48.11
PT,2019-Q1,48.31
PT,2019-Q2,47.97
PT,2019-Q3,47.77
